,gasrig_count,gas_price,gaswell_count,gasimports_amount,gasconsumption_amount
2016-10-06,106.93548387096774,3.04,1471.0,231.38367741935485,1962.9839677419354
2016-10-07,107.3225806451613,3.02,1471.0,231.3706129032258,1970.5401612903227
2016-10-08,107.70967741935483,3.0733333333333333,1471.0,231.35754838709678,1978.0963548387097
2016-10-09,108.09677419354838,3.126666666666667,1471.0,231.34448387096776,1985.6525483870969
2016-10-10,108.48387096774194,3.18,1471.0,231.33141935483872,1993.2087419354839
2016-10-11,108.87096774193549,3.17,1471.0,231.3183548387097,2000.7649354838709
2016-10-12,109.25806451612902,3.17,1471.0,231.30529032258065,2008.321129032258
2016-10-13,109.64516129032258,3.16,1471.0,231.29222580645163,2015.8773225806451
2016-10-14,110.03225806451613,3.18,1471.0,231.2791612903226,2023.4335161290323
2016-10-15,110.41935483870968,3.19,1471.0,231.26609677419356,2030.9897096774193
2016-10-16,110.80645161290323,3.2,1471.0,231.25303225806454,2038.5459032258066
2016-10-17,111.19354838709677,3.21,1471.0,231.2399677419355,2046.1020967741936
2016-10-18,111.58064516129032,3.25,1471.0,231.22690322580647,2053.658290322581
2016-10-19,111.96774193548387,3.18,1471.0,231.21383870967742,2061.214483870968
2016-10-20,112.35483870967742,3.12,1471.0,231.2007741935484,2068.770677419355
2016-10-21,112.74193548387098,2.92,1471.0,231.18770967741938,2076.3268709677423
2016-10-22,113.12903225806451,2.873333333333333,1471.0,231.17464516129033,2083.8830645161293
2016-10-23,113.51612903225806,2.8266666666666667,1471.0,231.1615806451613,2091.4392580645163
2016-10-24,113.90322580645162,2.78,1471.0,231.14851612903226,2098.9954516129033
2016-10-25,114.29032258064515,2.69,1471.0,231.13545161290324,2106.5516451612903
2016-10-26,114.6774193548387,2.69,1471.0,231.12238709677422,2114.1078387096777
2016-10-27,115.06451612903226,2.72,1471.0,231.10932258064517,2121.6640322580647
2016-10-28,115.45161290322581,2.72,1471.0,231.09625806451615,2129.2202258064517
2016-10-29,115.83870967741936,2.7633333333333336,1471.0,231.0831935483871,2136.7764193548387
2016-10-30,116.2258064516129,2.8066666666666666,1471.0,231.07012903225808,2144.332612903226
2016-10-31,116.61290322580645,2.85,1471.0,231.05706451612903,2151.888806451613
2016-11-01,117.0,2.53,1471.0,231.044,2159.445
2016-11-02,117.3,2.53,1471.0,232.70223333333334,2183.0059333333334
2016-11-03,117.6,2.41,1471.0,234.36046666666667,2206.566866666667
2016-11-04,117.9,2.2,1471.0,236.01870000000002,2230.1278
2016-11-05,118.2,2.256666666666667,1471.0,237.67693333333335,2253.6887333333334
2016-11-06,118.5,2.3133333333333335,1471.0,239.33516666666668,2277.2496666666666
2016-11-07,118.8,2.37,1471.0,240.9934,2300.8106000000002
2016-11-08,119.1,2.34,1471.0,242.65163333333334,2324.3715333333334
2016-11-09,119.4,2.22,1471.0,244.30986666666666,2347.9324666666666
2016-11-10,119.7,2.08,1471.0,245.9681,2371.4934000000003
2016-11-11,120.0,2.08,1471.0,247.62633333333335,2395.0543333333335
2016-11-12,120.3,2.14,1471.0,249.28456666666668,2418.6152666666667
2016-11-13,120.6,2.1999999999999997,1471.0,250.9428,2442.1762
2016-11-14,120.9,2.26,1471.0,252.60103333333333,2465.7371333333335
2016-11-15,121.2,2.49,1471.0,254.25926666666666,2489.2980666666667
2016-11-16,121.5,2.49,1471.0,255.91750000000002,2512.8590000000004
2016-11-17,121.8,2.37,1471.0,257.57573333333335,2536.4199333333336
2016-11-18,122.1,2.6,1471.0,259.2339666666667,2559.9808666666668
2016-11-19,122.4,2.67,1471.0,260.8922,2583.5418
2016-11-20,122.7,2.74,1471.0,262.55043333333333,2607.1027333333336
2016-11-21,123.0,2.81,1471.0,264.20866666666666,2630.663666666667
2016-11-22,123.3,2.73,1471.0,265.8669,2654.2246
2016-11-23,123.6,2.76,1471.0,267.5251333333333,2677.7855333333337
2016-11-24,123.9,2.76,1471.0,269.18336666666664,2701.346466666667
2016-11-25,124.2,2.76,1471.0,270.84159999999997,2724.9074
2016-11-26,124.5,2.8266666666666667,1471.0,272.4998333333333,2748.4683333333332
2016-11-27,124.8,2.893333333333333,1471.0,274.1580666666667,2772.029266666667
2016-11-28,125.1,2.96,1471.0,275.8163,2795.5902
2016-11-29,125.4,3.02,1471.0,277.47453333333334,2819.1511333333333
2016-11-30,125.7,3.32,1471.0,279.13276666666667,2842.712066666667
2016-12-01,126.0,3.32,1471.0,280.791,2866.273
2016-12-02,126.45161290322581,3.44,1471.0,281.14148387096776,2867.8395806451613
2016-12-03,126.90322580645162,3.44,1471.0,281.49196774193547,2869.406161290323
2016-12-04,127.35483870967742,3.44,1471.0,281.84245161290323,2870.972741935484
2016-12-05,127.80645161290323,3.44,1471.0,282.19293548387094,2872.539322580645
2016-12-06,128.25806451612902,3.75,1471.0,282.5434193548387,2874.1059032258067
2016-12-07,128.70967741935485,3.8,1471.0,282.89390322580647,2875.672483870968
2016-12-08,129.16129032258064,3.68,1471.0,283.2443870967742,2877.239064516129
2016-12-09,129.61290322580646,3.75,1471.0,283.59487096774194,2878.8056451612906
2016-12-10,130.06451612903226,3.7,1471.0,283.9453548387097,2880.3722258064518
2016-12-11,130.51612903225805,3.65,1471.0,284.2958387096774,2881.938806451613
2016-12-12,130.96774193548387,3.6,1471.0,284.6463225806452,2883.5053870967745
2016-12-13,131.41935483870967,3.65,1471.0,284.9968064516129,2885.0719677419356
2016-12-14,131.8709677419355,3.55,1471.0,285.34729032258065,2886.6385483870968
2016-12-15,132.32258064516128,3.56,1471.0,285.6977741935484,2888.2051290322584
2016-12-16,132.7741935483871,3.51,1471.0,286.0482580645161,2889.7717096774195
2016-12-17,133.2258064516129,3.523333333333333,1471.0,286.3987419354839,2891.3382903225806
2016-12-18,133.67741935483872,3.5366666666666666,1471.0,286.7492258064516,2892.9048709677418
2016-12-19,134.1290322580645,3.55,1471.0,287.09970967741936,2894.4714516129034
2016-12-20,134.58064516129033,3.39,1471.0,287.4501935483871,2896.0380322580645
2016-12-21,135.03225806451613,3.5,1471.0,287.8006774193548,2897.6046129032256
2016-12-22,135.48387096774195,3.5,1471.0,288.1511612903226,2899.1711935483872
2016-12-23,135.93548387096774,3.6,1471.0,288.5016451612903,2900.7377741935484
2016-12-24,136.38709677419354,3.625,1471.0,288.85212903225806,2902.3043548387095
2016-12-25,136.83870967741936,3.6500000000000004,1471.0,289.2026129032258,2903.870935483871
2016-12-26,137.29032258064515,3.6750000000000003,1471.0,289.55309677419353,2905.4375161290322
2016-12-27,137.74193548387098,3.7,1471.0,289.9035806451613,2907.0040967741934
2016-12-28,138.19354838709677,3.7,1471.0,290.25406451612906,2908.570677419355
2016-12-29,138.6451612903226,3.71,1471.0,290.60454838709677,2910.137258064516
2016-12-30,139.09677419354838,3.71,1471.0,290.95503225806453,2911.7038387096773
2016-12-31,139.5483870967742,3.635,1471.0,291.30551612903224,2913.270419354839
2017-01-01,140.0,3.56,1471.0,291.656,2914.837
2017-01-02,140.32258064516128,3.4850000000000003,1471.0,290.46054838709676,2896.3286451612903
